pim/__init__.py	29	date	2026-08-31	``scores.json``; the pre-2026-08-31 tree lives at the ``pre-cleanup-2026-08
pim/environments/prediction.py	1	date	2026-09-19	diction`` block of its ``scores.json`` (2026-09-19).
pim/environments/prediction.py	34	date	2026-09-19	PRED_VERSION = "2026-09-19.1"
pim/environments/layout.py	3	date	2026-09-10	esearch/specs/DATASET_LAYOUT_SPEC.md`` (2026-09-10). One shape for both environment
pim/environments/layout.py	22	date	2026-09-10	ves to the **v2** location. (During the 2026-09-10 migration window
pim/environments/layout.py	47	date	2026-09-12	the GAMES the edit cases are cut from (2026-09-12)
pim/environments/layout.py	204	date	2026-09-12	"""The instance's canonical edit cases (2026-09-12: 1000 single-tile flips at a fixed
pim/environments/__init__.py	9	date	2026-09-10	lit lives is ``layout.py`` — layout v2 (2026-09-10): ``train/ probe/ eval/ edits/v1/``
pim/environments/discworld/frustum.py	23	date	2026-09-01	r ``rho``. See ``research/GOTCHAS.md``, 2026-09-01. The depth candidates below exist
pim/environments/discworld/frustum.py	59	name	Sevan	leftover of the renderer's internals. (Sevan, 2026-08-23.)
pim/environments/discworld/frustum.py	59	date	2026-08-23	er of the renderer's internals. (Sevan, 2026-08-23.)
pim/environments/discworld/frustum.py	73	date	2026-08-23	# `research/scratch/2026-08-23-frustum-basis.md`.
pim/environments/discworld/renderer.py	29	date	2026-09-03	ys ``1..obs_res-2`` of the full render (2026-09-03).
pim/environments/discworld/renderer.py	71	date	2026-09-13	# Several observers (2026-09-13, observers.py): each view is rendered b
pim/environments/discworld/viz.py	150	attribution	my	mx, my = 0.7, 0.7
pim/environments/discworld/viz.py	152	attribution	my	ax_w.set_ylim(cfg.y_near - my, cfg.y_far + my)
pim/environments/discworld/viz.py	152	attribution	my	w.set_ylim(cfg.y_near - my, cfg.y_far + my)
pim/environments/discworld/viz.py	246	attribution	my	cfg.y_far + my - 0.15,
pim/environments/discworld/config.py	64	date	2026-09-07	# ---- blink (dw-blink, 2026-09-07; see blink.py) ------------------------
pim/environments/discworld/config.py	79	date	2026-09-03	# 2026-09-03 for the 8-ray instance (10 cast, 8 kept
pim/environments/discworld/config.py	125	date	2026-09-12	dome baked into the disc; dw-smooth, 2026-09-12).
pim/environments/discworld/config.py	141	date	2026-09-13	# ---- multiple observers (OPTIONAL, 2026-09-13) -----------------------
pim/environments/discworld/bigcorpus.py	3	date	2026-08-31	Ported verbatim 2026-08-31 from ``discworld_scale/corpus.py`` (pat
pim/environments/discworld/bigcorpus.py	16	date	2026-08-24	objects, 40 frames, 128 rays. Verified 2026-08-24 that
pim/environments/discworld/bigcorpus.py	73	date	2026-09-03	# dw-8ray (2026-09-03): 10 rays CAST, the two wall-aligned on
pim/environments/discworld/bigcorpus.py	76	date	2026-09-07	# dw-blink (2026-09-07): dw-noiseless + object blackouts with
pim/environments/discworld/bigcorpus.py	82	date	2026-09-10	# dw-5ray (2026-09-10 night): dw-8ray with 7 rays CAST, wall
pim/environments/discworld/bigcorpus.py	89	name	Sevan	# dw-16ray (2026-09-14, Sevan): dw-8ray with 18 rays CAST, wall rays
pim/environments/discworld/bigcorpus.py	89	date	2026-09-14	# dw-16ray (2026-09-14, Sevan): dw-8ray with 18 rays CAST, wal
pim/environments/discworld/bigcorpus.py	96	name	Sevan	# dw-128ray (2026-09-15 night, Sevan): the ray-count axis closed at the top
pim/environments/discworld/bigcorpus.py	96	date	2026-09-15	# dw-128ray (2026-09-15 night, Sevan): the ray-count axis close
pim/environments/discworld/bigcorpus.py	105	date	2026-09-12	# dw-smooth (2026-09-12 night): dw-noiseless geometry (128 rays
pim/environments/discworld/bigcorpus.py	107	name	Sevan	ofile H of experiments/antialias_pilot, Sevan's pick). soft_edge stays 0: the dome it
pim/environments/discworld/bigcorpus.py	107	attribution	Sevan's	ofile H of experiments/antialias_pilot, Sevan's pick). soft_edge stays 0: the dome itse
pim/environments/discworld/bigcorpus.py	114	date	2026-09-13	# dw-8ray-obs5 (2026-09-13 evening): dw-8ray seen by FIVE observer
pim/environments/discworld/bigcorpus.py	116	name	Sevan	# (observers.py; Sevan's "increasing observers" control). Obse
pim/environments/discworld/bigcorpus.py	116	attribution	Sevan's	# (observers.py; Sevan's "increasing observers" control). Observ
pim/environments/discworld/bigcorpus.py	134	date	2026-08-31	# measured 2026-08-31: same seed, noise off => unrelated worl
pim/environments/discworld/bigcorpus.py	511	date	2026-09-07	# added 2026-09-07 so readers (tokens.py) need not parse s
